Feature ID,lfc
Ddit4,4.560335877
Dusp1,3.338078079
Tsc22d3,3.327322541
Klf4,2.828740455
Per1,2.812588385
Cited2,2.745270707
Fkbp5,2.671472453
Tigd2,2.36094867
Sik1,2.28417959
Arl4d,2.020018481
Net1,1.943416431
Trp53inp1,1.916986439
Icosl,1.883145412
Klf9,1.793255274
Rnf169,1.750654729
Il15ra,1.748683566
Klf2,1.738347018
Tgfb3,1.734007507
Pfkfb3,1.730655591
Abhd15,1.728054251
CT485609.2,1.717311942
Prss16,1.679603002
Amica1,1.67340763
1700029F09Rik,1.637742806
Gdap2,1.621222456
Ccnj,1.617622135
Rcan1,1.615786322
Tagap,1.591334034
Tiparp,1.53917503
Nfil3,1.537487061
Rhob,1.50421052
Pex11a,1.500396462
Ankrd9,1.494711045
Nfkbia,1.448601527
Adrb2,1.43646091
Pik3ip1,1.424124911
Pdcd4,1.382795588
Lars2,1.365327975
Fam46a,1.359515977
Wdr3,1.324542477
AA474408,1.318706961
Map3k6,1.312603177
Kcnk6,1.309971583
Dnajb13,1.266874535
Cytip,1.263588174
1700017B05Rik,1.260416559
Spsb1,1.214616581
Wee1,1.181262494
Dusp2,1.142444422
Fam108b,1.133043852
Cdc37l1,1.132837868
Gm5431,1.12901528
Plaur,1.124891164
Ankrd16,1.112562811
Irgm1,1.112019614
Errfi1,1.111963557
Jdp2,1.103620886
Tbc1d10a,1.093277856
6330409N04Rik,1.090735532
Sgk1,1.084918033
AY036118,1.07565258
Ppm1d,1.069753029
Tmem158,1.066961272
Ssh2 (11 77029788..77273722),1.066144244
Fzd4,1.055216206
Chka,1.049155666
Pex13,1.047976194
Napepld,1.03995043
Gm11827,1.03743119
Ccl17,1.035990629
Sox4 (13 29040787..29045582),1.031363455
Ccdc21,1.027721372
Dclre1b,1.024216675
Cebpb,1.016114041
Gpt2,1.007340567
Lyve1,0.993431978
Abl2,0.958081786
Slc28a2,0.956044855
Jag1,0.946292648
Ncoa5,0.940854829
Mt2,0.93916651
Prokr1,0.938065109
Ms4a6b,0.93557152
Herpud1,0.932889167
Gm10925,0.910485752
RP23-378I13.5,0.904008743
Scoc,0.903977432
Zc3h12c,0.903081647
Dyrk3,0.899758349
Thbd,0.897500423
Mocs1,0.895284135
Skp2,0.885920852
Gins3,0.883753658
Gpr31c,0.882691406
B4galt1,0.882138283
Sdc4,0.881294466
Sla,0.881093234
Rnf103,0.876352298
Trp53i13,0.868769573
Aph1b,0.861278045
Sult1a1,0.857687123
Adm,0.844004775
Apbb3,0.83989298
Ramp2,0.839170242
Klrg2,0.830875998
Nt5c3,0.829412527
Mmp19,0.824413838
Amd1,0.817811604
Zfp69,0.815347134
Mesdc1,0.813439224
8430410K20Rik,0.800328055
Zfp472,0.800108638
Ugt1a10,0.799164571
Ccbl1,0.796745987
Ugcg,0.792114186
5031414D18Rik,0.788558036
Zfp1,0.780630565
Foxred2,0.77652446
Lrrc8a,0.769079483
Gpr65,0.768861275
Gpr141,0.763376759
Tbca,0.7627586
Sgms1,0.754901149
Sema6b,0.751166657
Wfs1,0.740452556
Ypel5,0.740299538
Pik3r1,0.739847913
Maf,0.738239026
AC148610.1,0.737116344
Fam117b,0.733942024
Fam107b,0.732884858
Fabp4,0.723941084
mt-Nd3,0.722316738
Zfp658,0.721565535
Akap7,0.71978381
Fam72a,0.717359116
Itga5,0.711519497
Sap30,0.709611803
Dyx1c1,0.707393155
Hopx,0.702651606
Ppp1r3b,0.699482386
Tagap1,0.698084462
Hist1h4d,0.697517121
Cnr2,0.697262131
Rpl36-ps3,0.68631592
Gm10154,0.684206658
Sphk1,0.681083342
Marveld1,0.677568268
Gm5908,0.674397491
Zc3h12a,0.67111528
Adamtsl4,0.670389259
Exosc8,0.665526366
Cpeb2,0.662310869
Mlxip,0.662243605
Zfand5,0.66022026
Vapa,0.65889623
Trit1,0.658609235
Arrdc2,0.65582352
Samsn1,0.655497684
Ctgf,0.648694859
Gm15441,0.646512798
Stk17b,0.646058904
Plscr1,0.641795602
Ip6k2,0.638615892
Gtf2a2,0.636747857
Gm5601,0.635592131
RP23-71J17.1,0.634915344
Bmf,0.634464337
Osbpl11,0.632403466
Hist1h4k,0.630403349
Gm6139,0.628282069
Zbtb6,0.624381248
Htr2a,0.62360134
Gm5830,0.622277776
Dennd4a,0.620271218
Tlr5,0.61902094
Zfc3h1,0.618429776
4930412F15Rik,0.616507683
mt-Nd6,0.615203879
Ppp1r13b,0.614344985
2010002N04Rik,0.609228207
1110059E24Rik,0.608917475
Tmem87b,0.608268343
Slfn2,0.606211425
Gm10416,0.60527884
Ercc5,0.602259814
Smc4,0.602113216
Plagl2,0.600695842
Gab3,0.60058517
Casp3,0.599993307
Agfg2,0.598872069
Cd38,0.59409574
Fos,0.593394345
Hp,0.593287791
Fgl2,0.589050181
Hmgn3,0.586452092
AL732569.1,0.585160289
Tmcc2,0.584533763
Ogfrl1,0.583503695
Ap4b1,0.58342072
Lsm5,0.580154292
Rab33a,0.578312197
Tm6sf1,0.57819652
Btbd1,0.576838243
Ptpn22,0.576748413
Stmn1,0.573780011
Gm10642,0.56869754
Cd300lf,0.566434777
Mkl1,0.566044312
Zfp217,0.565145893
AC134548.1,0.561961809
Snhg3,0.560788918
AI607873,0.558786134
Pdk4,0.557182882
